recipient,country,year,value
Iran,Belarus,1984,0
Iran,Belarus,1985,0
Iran,Belarus,1986,0
Iran,Belarus,1987,0
Iran,Belarus,1988,0
Iran,Belarus,1989,0
Iran,Belarus,1990,0
Iran,Belarus,1991,0
Iran,Belarus,1992,0
Iran,Belarus,1993,0
Iran,Belarus,1994,0
Iran,Belarus,1995,0
Iran,Belarus,1996,0
Iran,Belarus,1997,0
Iran,Belarus,1998,0
Iran,Belarus,1999,0
Iran,Belarus,2000,8
Iran,Belarus,2001,15
Iran,Belarus,2002,16
Iran,Belarus,2003,0
Iran,Belarus,2004,0
Iran,Belarus,2005,0
Iran,Belarus,2006,0
Iran,Belarus,2007,0
Iran,Belarus,2008,0
Iran,Belarus,2009,0
Iran,Belarus,2010,0
Iran,Belarus,2011,15
Iran,Belarus,2012,0
Iran,Belarus,2013,0
Iran,Belarus,2014,0
Iran,Brazil,1980,0
Iran,Brazil,1981,0
Iran,Brazil,1982,0
Iran,Brazil,1983,0
Iran,Brazil,1984,0
Iran,Brazil,1985,0
Iran,Brazil,1986,0
Iran,Brazil,1987,0
Iran,Brazil,1988,0
Iran,Brazil,1989,3
Iran,Brazil,1990,5
Iran,Brazil,1991,33
Iran,Brazil,1992,0
Iran,Brazil,1993,0
Iran,Brazil,1994,0
Iran,Brazil,1995,0
Iran,Brazil,1996,0
Iran,Brazil,1997,0
Iran,Brazil,1998,0
Iran,Brazil,1999,0
Iran,Brazil,2000,0
Iran,Brazil,2001,0
Iran,Brazil,2002,0
Iran,Brazil,2003,0
Iran,Brazil,2004,0
Iran,Brazil,2005,0
Iran,Brazil,2006,0
Iran,Brazil,2007,0
Iran,Brazil,2008,0
Iran,Brazil,2009,0
Iran,Brazil,2010,0
Iran,Brazil,2011,0
Iran,Brazil,2012,0
Iran,Brazil,2013,0
Iran,Brazil,2014,0
Iran,Canada,1980,0
Iran,Canada,1981,0
Iran,Canada,1982,0
Iran,Canada,1983,0
Iran,Canada,1984,21
Iran,Canada,1985,0
Iran,Canada,1986,0
Iran,Canada,1987,0
Iran,Canada,1988,0
Iran,Canada,1989,1
Iran,Canada,1990,2
Iran,Canada,1991,12
Iran,Canada,1992,0
Iran,Canada,1993,0
Iran,Canada,1994,0
Iran,Canada,1995,0
Iran,Canada,1996,0
Iran,Canada,1997,0
Iran,Canada,1998,0
Iran,Canada,1999,0
Iran,Canada,2000,0
Iran,Canada,2001,0
Iran,Canada,2002,0
Iran,Canada,2003,0
Iran,Canada,2004,0
Iran,Canada,2005,0
Iran,Canada,2006,0
Iran,Canada,2007,0
Iran,Canada,2008,0
Iran,Canada,2009,0
Iran,Canada,2010,0
Iran,Canada,2011,0
Iran,Canada,2012,0
Iran,Canada,2013,0
Iran,Canada,2014,0
Iran,China,1980,0
