recipient,country,year,value
China,United States,1981,
China,United States,1982,
China,United States,1983,
China,United States,1984,59
China,United States,1985,98
China,United States,1986,
China,United States,1987,
China,United States,1988,14
China,United States,1989,
China,United States,1990,
China,United States,1991,
China,United States,1992,
China,United States,1993,0
China,United States,1994,35
China,United States,1995,2
China,United States,1996,2
China,United States,1997,
China,United States,1998,
China,United States,1999,
China,United States,2000,
China,United States,2001,
China,United States,2002,
China,United States,2003,
China,United States,2004,
China,United States,2005,
China,United States,2006,
China,United States,2007,
China,United States,2008,
China,United States,2009,
China,United States,2010,
China,United States,2011,
China,United States,2012,
China,United States,2013,
China,United States,2014,
China,Total,1980,7
China,Total,1981,2
China,Total,1982,15
China,Total,1983,27
China,Total,1984,73
China,Total,1985,115
China,Total,1986,17
China,Total,1987,53
China,Total,1988,69
China,Total,1989,110
China,Total,1990,214
China,Total,1991,392
China,Total,1992,1169
China,Total,1993,1187
China,Total,1994,274
China,Total,1995,680
China,Total,1996,1494
China,Total,1997,900
China,Total,1998,383
China,Total,1999,1787
China,Total,2000,2555
China,Total,2001,2836
China,Total,2002,2893
China,Total,2003,2373
China,Total,2004,3320
China,Total,2005,3554
China,Total,2006,2900
China,Total,2007,1678
China,Total,2008,1906
China,Total,2009,1407
China,Total,2010,937
China,Total,2011,1020
China,Total,2012,1651
China,Total,2013,1715
China,Total,2014,1357
Iran,Argentina,1980,
Iran,Argentina,1981,
Iran,Argentina,1982,
Iran,Argentina,1983,
Iran,Argentina,1984,9
Iran,Argentina,1985,
Iran,Argentina,1986,
Iran,Argentina,1987,
Iran,Argentina,1988,
Iran,Argentina,1989,
Iran,Argentina,1990,
Iran,Argentina,1991,
Iran,Argentina,1992,
Iran,Argentina,1993,
Iran,Argentina,1994,
Iran,Argentina,1995,
Iran,Argentina,1996,
Iran,Argentina,1997,
Iran,Argentina,1998,
Iran,Argentina,1999,
Iran,Argentina,2000,
Iran,Argentina,2001,
Iran,Argentina,2002,
Iran,Argentina,2003,
Iran,Argentina,2004,
Iran,Argentina,2005,
Iran,Argentina,2006,
Iran,Argentina,2007,
Iran,Argentina,2008,
Iran,Argentina,2009,
Iran,Argentina,2010,
Iran,Argentina,2011,
Iran,Argentina,2012,
Iran,Argentina,2013,
Iran,Argentina,2014,
Iran,Austria,1980,
Iran,Austria,1981,
Iran,Austria,1982,
Iran,Austria,1983,
Iran,Austria,1984,
Iran,Austria,1985,300
Iran,Austria,1986,
Iran,Austria,1987,
Iran,Austria,1988,
Iran,Austria,1989,
Iran,Austria,1990,
Iran,Austria,1991,
Iran,Austria,1992,
Iran,Austria,1993,
Iran,Austria,1994,
Iran,Austria,1995,
Iran,Austria,1996,
Iran,Austria,1997,
Iran,Austria,1998,
Iran,Austria,1999,
Iran,Austria,2000,
Iran,Austria,2001,
Iran,Austria,2002,
Iran,Austria,2003,
Iran,Austria,2004,
Iran,Austria,2005,
Iran,Austria,2006,
Iran,Austria,2007,
Iran,Austria,2008,
Iran,Austria,2009,
Iran,Austria,2010,
Iran,Austria,2011,
Iran,Austria,2012,
Iran,Austria,2013,
Iran,Austria,2014,
Iran,Belarus,1980,
Iran,Belarus,1981,
Iran,Belarus,1982,
Iran,Belarus,1983,
Iran,Belarus,1984,
Iran,Belarus,1985,
Iran,Belarus,1986,
Iran,Belarus,1987,
Iran,Belarus,1988,
Iran,Belarus,1989,
Iran,Belarus,1990,
Iran,Belarus,1991,
Iran,Belarus,1992,
Iran,Belarus,1993,
Iran,Belarus,1994,
Iran,Belarus,1995,
Iran,Belarus,1996,
Iran,Belarus,1997,
Iran,Belarus,1998,
Iran,Belarus,1999,
Iran,Belarus,2000,8
Iran,Belarus,2001,15
Iran,Belarus,2002,16
Iran,Belarus,2003,
Iran,Belarus,2004,
Iran,Belarus,2005,
Iran,Belarus,2006,
Iran,Belarus,2007,
Iran,Belarus,2008,
Iran,Belarus,2009,
Iran,Belarus,2010,
Iran,Belarus,2011,15
Iran,Belarus,2012,
Iran,Belarus,2013,
Iran,Belarus,2014,
Iran,Brazil,1980,
Iran,Brazil,1981,
Iran,Brazil,1982,
Iran,Brazil,1983,
Iran,Brazil,1984,
Iran,Brazil,1985,
Iran,Brazil,1986,
Iran,Brazil,1987,
Iran,Brazil,1988,
Iran,Brazil,1989,3
Iran,Brazil,1990,5
Iran,Brazil,1991,33
Iran,Brazil,1992,
Iran,Brazil,1993,
Iran,Brazil,1994,
Iran,Brazil,1995,
Iran,Brazil,1996,
Iran,Brazil,1997,
Iran,Brazil,1998,
Iran,Brazil,1999,
Iran,Brazil,2000,
Iran,Brazil,2001,
Iran,Brazil,2002,
Iran,Brazil,2003,
Iran,Brazil,2004,
Iran,Brazil,2005,
Iran,Brazil,2006,
Iran,Brazil,2007,
Iran,Brazil,2008,
Iran,Brazil,2009,
Iran,Brazil,2010,
Iran,Brazil,2011,
Iran,Brazil,2012,
Iran,Brazil,2013,
Iran,Brazil,2014,
Iran,Canada,1980,
Iran,Canada,1981,
Iran,Canada,1982,
Iran,Canada,1983,
Iran,Canada,1984,21
Iran,Canada,1985,
Iran,Canada,1986,
Iran,Canada,1987,
Iran,Canada,1988,
Iran,Canada,1989,1
Iran,Canada,1990,2
Iran,Canada,1991,12
Iran,Canada,1992,
Iran,Canada,1993,
Iran,Canada,1994,
Iran,Canada,1995,
Iran,Canada,1996,
Iran,Canada,1997,
Iran,Canada,1998,
Iran,Canada,1999,
Iran,Canada,2000,
Iran,Canada,2001,
Iran,Canada,2002,
Iran,Canada,2003,
Iran,Canada,2004,
Iran,Canada,2005,
Iran,Canada,2006,
Iran,Canada,2007,
Iran,Canada,2008,
Iran,Canada,2009,
Iran,Canada,2010,
Iran,Canada,2011,
Iran,Canada,2012,
Iran,Canada,2013,
Iran,Canada,2014,
Iran,China,1980,
Iran,China,1981,1
Iran,China,1982,193
Iran,China,1983,219
Iran,China,1984,180
Iran,China,1985,126
Iran,China,1986,516
Iran,China,1987,539
Iran,China,1988,184
Iran,China,1989,60
Iran,China,1990,87
Iran,China,1991,96
Iran,China,1992,103
Iran,China,1993,304
Iran,China,1994,274
Iran,China,1995,58
Iran,China,1996,320
Iran,China,1997,54
Iran,China,1998,70
Iran,China,1999,64
Iran,China,2000,69
Iran,China,2001,80
Iran,China,2002,81
Iran,China,2003,84
Iran,China,2004,80
Iran,China,2005,43
Iran,China,2006,54
Iran,China,2007,47
Iran,China,2008,47
Iran,China,2009,47
Iran,China,2010,62
Iran,China,2011,55
Iran,China,2012,32
Iran,China,2013,9
Iran,China,2014,9
Iran,East Germany (GDR),1980,
Iran,East Germany (GDR),1981,
Iran,East Germany (GDR),1982,
Iran,East Germany (GDR),1983,
Iran,East Germany (GDR),1984,
Iran,East Germany (GDR),1985,
Iran,East Germany (GDR),1986,
Iran,East Germany (GDR),1987,
Iran,East Germany (GDR),1988,
Iran,East Germany (GDR),1989,8
Iran,East Germany (GDR),1990,
Iran,East Germany (GDR),1991,
Iran,East Germany (GDR),1992,
Iran,East Germany (GDR),1993,
Iran,East Germany (GDR),1994,
Iran,East Germany (GDR),1995,
Iran,East Germany (GDR),1996,
Iran,East Germany (GDR),1997,
Iran,East Germany (GDR),1998,
Iran,East Germany (GDR),1999,
Iran,East Germany (GDR),2000,
Iran,East Germany (GDR),2001,
Iran,East Germany (GDR),2002,
Iran,East Germany (GDR),2003,
Iran,East Germany (GDR),2004,
Iran,East Germany (GDR),2005,
Iran,East Germany (GDR),2006,
Iran,East Germany (GDR),2007,
Iran,East Germany (GDR),2008,
Iran,East Germany (GDR),2009,
Iran,East Germany (GDR),2010,
Iran,East Germany (GDR),2011,
Iran,East Germany (GDR),2012,
Iran,East Germany (GDR),2013,
Iran,East Germany (GDR),2014,
Iran,Ethiopia,1980,
Iran,Ethiopia,1981,
Iran,Ethiopia,1982,
Iran,Ethiopia,1983,
Iran,Ethiopia,1984,
Iran,Ethiopia,1985,22
Iran,Ethiopia,1986,
Iran,Ethiopia,1987,
Iran,Ethiopia,1988,
Iran,Ethiopia,1989,
Iran,Ethiopia,1990,
Iran,Ethiopia,1991,
Iran,Ethiopia,1992,
Iran,Ethiopia,1993,
Iran,Ethiopia,1994,
Iran,Ethiopia,1995,
Iran,Ethiopia,1996,
Iran,Ethiopia,1997,
Iran,Ethiopia,1998,
Iran,Ethiopia,1999,
Iran,Ethiopia,2000,
Iran,Ethiopia,2001,
Iran,Ethiopia,2002,
Iran,Ethiopia,2003,
Iran,Ethiopia,2004,
Iran,Ethiopia,2005,
Iran,Ethiopia,2006,
Iran,Ethiopia,2007,
Iran,Ethiopia,2008,
Iran,Ethiopia,2009,
Iran,Ethiopia,2010,
Iran,Ethiopia,2011,
Iran,Ethiopia,2012,
Iran,Ethiopia,2013,
Iran,Ethiopia,2014,
Iran,France,1980,
Iran,France,1981,143
Iran,France,1982,
Iran,France,1983,
Iran,France,1984,
Iran,France,1985,
Iran,France,1986,
Iran,France,1987,
Iran,France,1988,
Iran,France,1989,
Iran,France,1990,
Iran,France,1991,
Iran,France,1992,
Iran,France,1993,
Iran,France,1994,
Iran,France,1995,
Iran,France,1996,2
Iran,France,1997,
Iran,France,1998,
Iran,France,1999,
Iran,France,2000,
Iran,France,2001,
Iran,France,2002,
Iran,France,2003,
Iran,France,2004,
Iran,France,2005,
Iran,France,2006,
Iran,France,2007,
Iran,France,2008,
Iran,France,2009,
Iran,France,2010,
Iran,France,2011,
Iran,France,2012,
Iran,France,2013,
Iran,France,2014,
Iran,Israel,1980,
Iran,Israel,1981,
Iran,Israel,1982,
Iran,Israel,1983,
Iran,Israel,1984,
Iran,Israel,1985,22
Iran,Israel,1986,22
Iran,Israel,1987,
Iran,Israel,1988,
Iran,Israel,1989,
Iran,Israel,1990,
Iran,Israel,1991,
Iran,Israel,1992,
Iran,Israel,1993,
Iran,Israel,1994,
Iran,Israel,1995,
Iran,Israel,1996,
Iran,Israel,1997,
Iran,Israel,1998,
Iran,Israel,1999,
Iran,Israel,2000,
Iran,Israel,2001,
Iran,Israel,2002,
Iran,Israel,2003,
Iran,Israel,2004,
Iran,Israel,2005,
Iran,Israel,2006,
Iran,Israel,2007,
