U.S. Custom Ports,Address,bing_type,bing_confidence,bing_latitude,bing_longitude,Coast,Year,Value
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2001,584.4
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2002,14146.98
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2003,34.54
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2004,2.59
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2005,148.56
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2006,1567.47
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2007,0.0
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2008,0.0
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2009,1163.91
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2010,6456.320000000001
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2011,8704.14
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2012,12.26
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2013,1986.83
"Baton Rouge, LA","2425 Ernest Wilson Dr, Port Allen, LA",Address,High,30.43914020061493,-91.20239607989788,G,2014,148.45
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,1997,445.29
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,1998,167.44
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,1999,0.0
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2000,176.15
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2001,642.84
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2002,1575.53
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2003,590.14
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2004,226.37
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2005,720.87
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2006,37.48
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2007,137.15
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2008,279.15
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2009,0.0
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2010,267.93
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2011,865.5
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2012,435.71000000000004
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2013,0.0
"Beaufort-Morehead City, NC","534H 35th Street, Morehead City, NC",Address,High,34.732826232910156,-76.75321960449219,A,2014,666.62
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,1997,0.0
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,1998,2.98
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,1999,41.31
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2000,881.55
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2001,824.38
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2002,2314.43
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2003,222.73
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2004,1025.81
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2005,697.8
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2006,453.45
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2007,2318.1899999999996
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2008,38333.439999999995
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2009,2539.44
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2010,3852.3900000000003
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2011,53004.23
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2012,7049.11
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2013,1291.96
"Beaumont, TX","1225 Main Street, Beaumont, TX",Address,High,30.07853463292122,-94.09188888967037,G,2014,1985.32
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,1997,549829.28
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,1998,592719.59
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,1999,671081.35
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2000,632514.95
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2001,549651.81
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2002,687817.73
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2003,799347.5000000016
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2004,1005669.01
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2005,1083666.1
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2006,1160663.31
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2007,1243343.800000001
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2008,1148190.3000000003
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2009,1186375.8499999992
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2010,999198.9999999998
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2011,1171709.5499999996
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2012,1331637.7999999998
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2013,1433116.64
"Boston, MA","1 Black Falcon Avenue, Boston, MA",Address,High,42.34397605061531,-71.03413492441177,A,2014,1611271.39
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,1997,107.57
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,1998,284.31
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,1999,1794.52
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2000,510.26
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2001,5690.69
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2002,29.27
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2003,1178.06
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2004,230.56
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2005,120.19
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2006,53.82
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2007,229.48000000000002
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2008,6.59
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2009,26.5
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2010,2107.9899999999993
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2011,1361.1399999999999
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2012,3769.87
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2013,2251.45
"Brunswick, GA","1100 Bay St, Brunswick, GA",Address,High,31.143415197730064,-81.49473264813423,A,2014,14124.45
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,1997,57271.42
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,1998,50247.22
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,1999,57219.90000000009
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2000,53012.95000000021
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2001,62794.59
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2002,48148.770000000135
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2003,59184.39000000008
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2004,66521.64999999992
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2005,89034.81999999964
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2006,90147.6399999999
"Camden, NJ","200 Beckett Street, Camden, NJ",Address,High,39.93744045495987,-75.12473098933697,A,2007,87066.07000000002
